Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Online Brite Creations,Retail Brite Creations
dario,Dario,Size,10.5,Color,Cognac/Brown,,,dario-10.5-cognac/brown,0,0
dario,Dario,Size,11,Color,Cognac/Brown,,,dario-11-cognac/brown,0,0
dario,Dario,Size,11.5,Color,Cognac/Brown,,,dario-11.5-cognac/brown,0,0
dario,Dario,Size,12,Color,Cognac/Brown,,,dario-12-cognac/brown,0,0
dario,Dario,Size,13,Color,Cognac/Brown,,,dario-13-cognac/brown,1,0
dario,Dario,Size,14,Color,Cognac/Brown,,,dario-14-cognac/brown,0,0
dario,Dario,Size,15,Color,Cognac/Brown,,,dario-15-cognac/brown,0,0
davide,Davide,Size,7,Color,Brandy,,,davide-7-brandy,0,0
davide,Davide,Size,7.5,Color,Brandy,,,davide-7.5-brandy,0,0
davide,Davide,Size,8,Color,Brandy,,,davide-8-brandy,1,0
davide,Davide,Size,8.5,Color,Brandy,,,davide-8.5-brandy,0,0
davide,Davide,Size,9,Color,Brandy,,,davide-9-brandy,1,0
davide,Davide,Size,9.5,Color,Brandy,,,davide-9.5-brandy,0,0
davide,Davide,Size,10,Color,Brandy,,,davide-10-brandy,0,0
davide,Davide,Size,10.5,Color,Brandy,,,davide-10.5-brandy,0,0
davide,Davide,Size,11,Color,Brandy,,,davide-11-brandy,0,0
davide,Davide,Size,11.5,Color,Brandy,,,davide-11.5-brandy,0,0
davide,Davide,Size,12,Color,Brandy,,,davide-12-brandy,0,0
davide,Davide,Size,13,Color,Brandy,,,davide-13-brandy,1,0
davide,Davide,Size,14,Color,Brandy,,,davide-14-brandy,0,0
davide,Davide,Size,15,Color,Brandy,,,davide-15-brandy,0,0
fabrizio,Fabrizio,Size,7,Color,Brown,,,fabrizio-7-brown,0,0
fabrizio,Fabrizio,Size,7.5,Color,Brown,,,fabrizio-7.5-brown,0,0
fabrizio,Fabrizio,Size,8,Color,Brown,,,fabrizio-8-brown,1,0
fabrizio,Fabrizio,Size,8.5,Color,Brown,,,fabrizio-8.5-brown,1,0
fabrizio,Fabrizio,Size,9,Color,Brown,,,fabrizio-9-brown,1,0
fabrizio,Fabrizio,Size,9.5,Color,Brown,,,fabrizio-9.5-brown,1,0
fabrizio,Fabrizio,Size,10,Color,Brown,,,fabrizio-10-brown,1,0
fabrizio,Fabrizio,Size,10.5,Color,Brown,,,fabrizio-10.5-brown,1,0
fabrizio,Fabrizio,Size,11,Color,Brown,,,fabrizio-11-brown,1,0
fabrizio,Fabrizio,Size,11.5,Color,Brown,,,fabrizio-11.5-brown,1,0
fabrizio,Fabrizio,Size,12,Color,Brown,,,fabrizio-12-brown,1,0
fabrizio,Fabrizio,Size,13,Color,Brown,,,fabrizio-13-brown,1,0
fabrizio,Fabrizio,Size,14,Color,Brown,,,fabrizio-14-brown,1,0
fabrizio,Fabrizio,Size,15,Color,Brown,,,fabrizio-15-brown,0,0
filippo,Filippo,Size,7,Color,Cognac,,,filippo-7-cognac,0,0
filippo,Filippo,Size,7.5,Color,Cognac,,,filippo-7.5-cognac,0,0
filippo,Filippo,Size,8,Color,Cognac,,,filippo-8-cognac,1,0
filippo,Filippo,Size,8.5,Color,Cognac,,,filippo-8.5-cognac,1,0
filippo,Filippo,Size,9,Color,Cognac,,,filippo-9-cognac,1,0
filippo,Filippo,Size,9.5,Color,Cognac,,,filippo-9.5-cognac,1,0
filippo,Filippo,Size,10,Color,Cognac,,,filippo-10-cognac,1,0
filippo,Filippo,Size,10.5,Color,Cognac,,,filippo-10.5-cognac,1,0
filippo,Filippo,Size,11,Color,Cognac,,,filippo-11-cognac,1,0
filippo,Filippo,Size,11.5,Color,Cognac,,,filippo-11.5-cognac,1,0
filippo,Filippo,Size,12,Color,Cognac,,,filippo-12-cognac,1,0
filippo,Filippo,Size,13,Color,Cognac,,,filippo-13-cognac,1,0
filippo,Filippo,Size,14,Color,Cognac,,,filippo-14-cognac,1,0
filippo,Filippo,Size,15,Color,Cognac,,,filippo-15-cognac,0,0
francesco,Francesco,Size,7,Color,Cognac,,,francesco-7-cognac,0,0
francesco,Francesco,Size,7,Color,Light Grey,,,francesco-7-lightgrey,0,0
francesco,Francesco,Size,7,Color,Navy,,,francesco-7-navy,0,0
francesco,Francesco,Size,7.5,Color,Cognac,,,francesco-7.5-cognac,0,0
francesco,Francesco,Size,7.5,Color,Light Grey,,,francesco-7.5-lightgrey,0,0
francesco,Francesco,Size,7.5,Color,Navy,,,francesco-7.5-navy,0,0
francesco,Francesco,Size,8,Color,Cognac,,,francesco-8-cognac,0,0
francesco,Francesco,Size,8,Color,Light Grey,,,francesco-8-lightgrey,0,0
francesco,Francesco,Size,8,Color,Navy,,,francesco-8-navy,1,0
francesco,Francesco,Size,8.5,Color,Cognac,,,francesco-8.5-cognac,0,0
francesco,Francesco,Size,8.5,Color,Light Grey,,,francesco-8.5-lightgrey,0,0
francesco,Francesco,Size,8.5,Color,Navy,,,francesco-8.5-navy,1,0
francesco,Francesco,Size,9,Color,Cognac,,,francesco-9-cognac,0,0
francesco,Francesco,Size,9,Color,Light Grey,,,francesco-9-lightgrey,0,0
francesco,Francesco,Size,9,Color,Navy,,,francesco-9-navy,1,0
francesco,Francesco,Size,9.5,Color,Cognac,,,francesco-9.5-cognac,0,0
francesco,Francesco,Size,9.5,Color,Light Grey,,,francesco-9.5-lightgrey,0,0
francesco,Francesco,Size,9.5,Color,Navy,,,francesco-9.5-navy,1,0
francesco,Francesco,Size,10,Color,Cognac,,,francesco-10-cognac,0,0
francesco,Francesco,Size,10,Color,Light Grey,,,francesco-10-lightgrey,0,0
francesco,Francesco,Size,10,Color,Navy,,,francesco-10-navy,1,0
francesco,Francesco,Size,10.5,Color,Cognac,,,francesco-10.5-cognac,0,0
francesco,Francesco,Size,10.5,Color,Light Grey,,,francesco-10.5-lightgrey,0,0
