Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
mezlanphillipe,,,,,,,,12,,Cognac,,,mezlanphillipe-cognac-12,0,shopify,deny,manual,375,395,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9730-phillipe-cognac-1.1604174614.jpg,lb,,
mezlanphillipe,,,,,,,,13,,Black,,,mezlanphillipe-black-13,0,shopify,deny,manual,375,395,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9730-phillipe-black-1.1604174614.jpg,lb,,
mezlanphillipe,,,,,,,,13,,Cognac,,,mezlanphillipe-cognac-13,0,shopify,deny,manual,375,395,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9730-phillipe-cognac-1.1604174614.jpg,lb,,
mezlanphillipe,,,,,,,,14,,Black,,,mezlanphillipe-black-14,0,shopify,deny,manual,375,395,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9730-phillipe-black-1.1604174614.jpg,lb,,
mezlanphillipe,,,,,,,,14,,Cognac,,,mezlanphillipe-cognac-14,0,shopify,deny,manual,375,395,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9730-phillipe-cognac-1.1604174614.jpg,lb,,
mezlanpaden,Paden,"<meta charset=""utf-8"">
<ul><li>Dress Plain Toe Monk Strap</li><li>Smooth, Hand-Burnished Calfskin</li><li>Signature ""M"" Ornament Buckle</li><li>Heavy Chain Stitch Welt</li><li>Injected Memory Foam Cushioned Insole</li><li>Full Leather Sole</li><li>Handmade In Spain</li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",Mezlan,Dress Casual Shoe,"color:Black,size:8,size:8.5,size:9.5,size:10,size:10.5,size:11,size:11.5,size:12,size:13",TRUE,Size,8,Color,Black,,,mezlanpaden-black-8,0,shopify,deny,manual,355,375,TRUE,TRUE,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9711-paden-black-1.1604175317.jpg,1,,FALSE,Brite Creations | Paden Dress Casual Shoe by Mezlan,"Shop at Brite Creations Atlanta for the best deal on Paden Dress Casual Shoe by Mezlan
<meta charset=""utf-8"">
<ul><li>Dress Plain Toe Monk Strap</li><li>Smooth, Hand-Burnished Calfskin</li><li>Signature ""M"" Ornament Buckle</li><li>Heavy Chain Stitch Welt</li><li>Injected Memory Foam Cushioned Insole</li><li>Full Leather Sole</li><li>Handmade In Spain</li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9711-paden-black-1.1604175317.jpg,lb,,
mezlanpaden,,,,,,,,8.5,,Black,,,mezlanpaden-black-8.5,0,shopify,deny,manual,355,375,TRUE,TRUE,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9711-paden-black-ou.1604175317.jpg,2,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9711-paden-black-1.1604175317.jpg,lb,,
mezlanpaden,,,,,,,,9.5,,Black,,,mezlanpaden-black-9.5,0,shopify,deny,manual,355,375,TRUE,TRUE,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9711-paden-black-2.1604175317.jpg,3,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9711-paden-black-1.1604175317.jpg,lb,,
mezlanpaden,,,,,,,,10,,Black,,,mezlanpaden-black-10,0,shopify,deny,manual,355,375,TRUE,TRUE,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9711-paden-black-3.1604175317.jpg,4,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9711-paden-black-1.1604175317.jpg,lb,,
mezlanpaden,,,,,,,,10.5,,Black,,,mezlanpaden-black-10.5,0,shopify,deny,manual,355,375,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9711-paden-black-1.1604175317.jpg,lb,,
