Title,Price,SKU,Color,URL
Diamond Mink Jacket,1700,WF-M49R01PEF,Brown ,https://upscalemenswear.com/shop-by-brand-c-49/winter-fur-c-49_90/winter-fur-brown-genuine-full-skin-rex-rabbit-bomber-jacket-m18r01br-p-27768.html
Diamond Mink Jacket,1700,WF-M49R01PEM,Red,https://upscalemenswear.com/shop-by-brand-c-49/winter-fur-c-49_90/winter-fur-red-genuine-full-skin-rex-rabbit-bomber-jacket-m18r01rd-p-27769.html
Diamond Mink Jacket,1700,WF-M49R01SAF,Red,https://upscalemenswear.com/shop-by-brand-c-49/winter-fur-c-49_90/winter-fur-red-genuine-diamond-mink-motorcycle-jacket-with-fox-collar-and-hood-m49s02rd-p-27779.html
Diamond Mink Jacket,1700,WF-M49R01SAM,Black ,https://upscalemenswear.com/winter-fur-black-genuine-diamond-mink-motorcycle-jacket-with-fox-collar-and-hood-m49s02bk-p-27780.html
Diamond Mink Jacket,1700,WF-M49R01WKT,White ,https://upscalemenswear.com/winter-fur-white-genuine-diamond-mink-motorcycle-jacket-with-fox-collar-and-hood-m49s02wt-p-27781.html
Diamond Mink Jacket,1700,WF-M49R01WTF,Royal Blue,https://upscalemenswear.com/winter-fur-royal-blue-genuine-diamond-mink-motorcycle-jacket-with-fox-collar-and-hood-m49s02rb-p-27783.html
Diamond Mink Jacket,1700,WF-M49R01WTM,White ,https://upscalemenswear.com/winter-fur-white-genuine-diamond-mink-bomber-jacket-m49r01wtm-p-27785.html
Diamond Mink Jacket,1700,WF-M49R01WTT,White ,https://upscalemenswear.com/winter-fur-white-genuine-diamond-mink-bomber-jacket-m49r01wtf-p-27786.html
Diamond Mink Baseball Jacket,1300,WF-M49R04BD,Pearl,https://upscalemenswear.com/winter-fur-pearl-genuine-diamond-mink-bomber-jacket-m49r01pef-p-27787.html
Diamond Mink Baseball Jacket,1300,WF-M49R04BK,Pearl,https://upscalemenswear.com/winter-fur-pearl-genuine-diamond-mink-bomber-jacket-m49r01pem-p-27788.html
Diamond Mink Baseball Jacket,1300,WF-M49R04GN,Sapphire,https://upscalemenswear.com/winter-fur-sapphire-genuine-diamond-mink-bomber-jacket-m49r01sam-p-27789.html
Diamond Mink Baseball Jacket,1300,WF-M49R04NV,Sapphire,https://upscalemenswear.com/winter-fur-sapphire-genuine-diamond-mink-bomber-jacket-m49r01saf-p-27790.html
